,lr,hidden_size,downsampling,acc
0,0.01,100,15,1.0
0,0.01,100,30,1.0
0,0.01,150,15,1.0
0,0.01,150,30,0.75
0,0.01,200,15,1.0
0,0.01,200,30,1.0
0,0.01,250,15,1.0
0,0.01,250,30,0.625
0,0.001,100,15,0.75
0,0.001,100,30,0.75
0,0.001,150,15,1.0
0,0.001,150,30,0.75
0,0.001,200,15,1.0
0,0.001,200,30,0.75
0,0.001,250,15,1.0
0,0.001,250,30,1.0
0,0.0001,100,15,0.25
0,0.0001,100,30,0.25
0,0.0001,150,15,0.25
0,0.0001,150,30,0.25
0,0.0001,200,15,0.5
0,0.0001,200,30,0.5
0,0.0001,250,15,0.75
0,0.0001,250,30,0.5
